Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
Occupancy Sensor Mount,,3D-printed bracket for mounting the PIR occupancy sensor with a clear line of sight.,mechanical,3d_printed,1,0.8,0.8,
External 5W Solar Panel Assembly,5W 12V Mini Solar Panel Kit,"External solar panel (10""x7""x0.7"") with anodized aluminum frame, pre-drilled mounting holes, and IP67 junction box.",mechanical,structural,1,35,35,
Solar Panel Mounting Bracket,Adjustable Solar Panel Wall/Roof Mount,"Heavy-duty tilt-adjustable wall/roof mounting arm for the solar panel, allowing 360° rotation and 90° tilt.",mechanical,structural,1,20,20,
Solar Panel Extension Cable,3m UV-Resistant DC Extension Cable,"3m UV-resistant, double-insulated cable with 5.5x2.1mm male DC barrel connector for solar panel.",mechanical,misc,1,10,10,
M3 PCB Mounting Screws,M3x6mm Phillips Head Screws,Screws for mounting the PCB and other internal components to 3D-printed parts.,mechanical,misc,10,0.1,1,
M4 Enclosure Screws,M4x12mm Pan Head Machine Screws,Screws for securing the enclosure lid and other external components.,mechanical,misc,6,0.15,0.9,
Adhesive Weather Seal,EPDM Rubber Foam Weather Strip,Self-adhesive weather stripping to enhance IP65 rating around seams and openings.,mechanical,misc,1,6,6,
Main Controller Mount,,Standoff bracket sized to the Main Controller's mounting hole pattern. M2.5 holes for board fasteners; vented underside for airflow.,mechanical,3d_printed,1,2,2,
LoRa Transceiver Module Mount,,Adapter plate for the LoRa Transceiver Module that bolts to the main chassis with M3 hardware. Includes wire-routing channels.,mechanical,3d_printed,1,2,2,
GPS Module Mount,,Adapter plate for the GPS Module that bolts to the main chassis with M3 hardware. Includes wire-routing channels.,mechanical,3d_printed,1,2,2,
Rainfall Sensor Mount,,Form-fitting cradle for the Rainfall Sensor that holds the sensing surface in its rated orientation. Snap-fit retention so it can be removed for calibration without tools.,mechanical,3d_printed,1,2,2,
Mini GSM/4G Antenna Mount,,Adapter plate for the Mini GSM/4G Antenna that bolts to the main chassis with M3 hardware. Includes wire-routing channels.,mechanical,3d_printed,1,2,2,
Mini LoRa Antenna Mount,,Adapter plate for the Mini LoRa Antenna that bolts to the main chassis with M3 hardware. Includes wire-routing channels.,mechanical,3d_printed,1,2,2,
Mini GPS Antenna Mount,,Adapter plate for the Mini GPS Antenna that bolts to the main chassis with M3 hardware. Includes wire-routing channels.,mechanical,3d_printed,1,2,2,
