Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Rainfall Sensor","FC-37 Rain Sensor Module","Detects the presence of rain to activate the roof collection system and adjust irrigation.","electrical","sensor",1,3.00,3.00,"https://s.click.aliexpress.com/s/2YgDK2cRCyl9WNkj7vsiSgwQncOI32ZVsrEzbicWkRKbFTNMQbqbkcFOG1OBsMpz0QZ56yDUfJ22csduZdiHbgpEF7Ex3UKlAchlGNBsOXNNF88rwsDtIBwGctERXF9F8Kr7I88X0k96g6ZMhkO3P6ToLVxDdHRMGJpxZpIjxnmHAvyJtyadmk38EGe6i2o8G7iaV7tYZArmhfSTEi2pVyWdpS5Ka22Bg1szqfWcQUeNEjawjvRvXvFLTCW8qblr7wOZUa4C5MI6y0qLQDHLWOVtAJdfQPdCb8vktGCgRVEzXU0o73Nnj48MsQmrZkvAmDDb5SXJOv3489jMaJgFdxzHHKpUdKcx8VAXbdBZUps5xCHGUe5aIM9CNIjZKaYlgXStg7P5KmTTSDzsLM75NHt5234ZfTxejylB3AboI8z7qu6TlEb0HIpD6AhGMCiqak5qjQyZY21pDc2fa0nAgooCGjfM6LFf9IPAOQonKdvSuj2M2KgbZiGfs0R0qWu2oLs3DjyKcgOiWKqpgg8ztZpvGbeZwH14THCRv9S6wvitg8A5S6zES2zzgsaq1RdO9G2d0SWEOD6grcbIsLJjyNGh9kM0nv8gY2dLXnQwDXmwqYV7xTPJw0PiPnuitL1teVLuTZCRS1EViGh7GKt2fMUEH0wpU0Rf6mZ2pNpSjP3D8VYwTihOplNKodrDwpIKKf0QzcqY6eh52Ih1YANUk6u17wKiirpFVUA1uGIAgAFEAlCyJpIBhit8VgpB6sD9surBoqMm2JAgfm4YeoJ693bXfQEcPxt8tC2BiblBECRWwdfwqCfWEvt8RZfcsA0gJeJT2T0fpJX2fxRUsBG6v2fGCR0qoihVdO0w2UWXUvbNmadaXD6YJRxvkMTkBDZ1PKy8IOXGeDxqD6wNSnA6kEz82zzpzVDJeAkExXmgk3W2oOEsb2"
"Ambient Light Sensor","BH1750FVI","监测环境光照强度。","electrical","sensor",1,2.50,2.50,"https://www.digikey.com/en/products/detail/rohm-semiconductor/BH1750FVI-TR/2042730"
"Occupancy (PIR) Sensor","HC-SR501 PIR Motion Sensor","Passive Infrared (PIR) sensor for detecting motion and occupancy.","electrical","sensor",1,2.00,2.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0Jxg7IKX4TJZeTmLFdtJ3519Z7IK2PIUYbQsE5RLmFbLTvxmmlhqdS0upY8cdUAYDe47GHxAqN57Rcg23K1jMeEGyWhBRgTLEsvnG7kp3eG15DQqQaYlFvtk0qz7W28xMk9Q9j63Bvn3dHzDWvHaQ54Co0KtksQn3FeVRDksbXIJMamVufrvxyGkyHPk0Uy5CqfKL28XNVBuXAqKlwUKDl4UDspsezb8PIQWYBYoqykUliRaJ5Cx34LAGoiLruT83VyQlSxswF8RTbBRmElwt65vYC1X5JsLMKPDTUvRjPbESSFA4xUCSyC3hEwWJbMugshjF0oKysCQUqtnd1kWl70i8Op6pMzmSbpnU4pd1dCRAUteQRX7XkVvhEG8cfG3ZREcfGDR1Xh3A45EJXDLrAuhyzzFS45uehkH1ydtEgRH1BmrIBVNUMTi1dSwCXSCF40YHwKFwPrDPnhGfADSQfDm72lTuYSN6HIgM5JAcnlA1IMqT6PpU3DJhjUXDtRCOvHeePjb9nJTe1J3Fk4XhBETCsgQd4q9vUnLorb7fyjYHk8JMaH9UsS8hLK2PpkJJ8yRRTcTDPpUzNjIJWopiL0hGm3nSHZoQij8QWqzx9TwV0hq29sNGBaTbcy0hbiGk7ruwCvGRDV5DJKDfAndtgZi4L"
"OLED Status Display","SSD1306 0.96 inch OLED","Small OLED display for system status and feedback. Located on the handheld head.","electrical","display",1,5.00,5.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxRyxAvUSPUSjPHUTr77M9a5gaHAkY8zttMepDjVK7dGrvo244ugf65QsqLKk6RaFpQv6ezSmVyecQADFvedRg8da83RnzVs7HhpmvfCXSv5kZ7bX8JFCWLERS0GJKWeODyHS2IzBn3tOQfIMW7SYq83njneQ3Ptptor4abF2sWF5sU7TypilOLtBlemsbwsuskEW2iBQisP0qtVMZgzdnYXblXW3b4nPRMPf6DUhz03GmhO5MGEPjHVeNTtM86r0MWHjQnXTGNrbQziesJPQqR3RqwHfjrwFaM2jFcUthtLV7I7kUtiBU2UDgZ0HSW24E2Y8rVrRI9rwBoTwhfHZSlGy4YoonC8OVfl2G36sMKYRJ2bOeRbTAVjcqTq0obz6x28hfTVHLbitupFUMNjBZYsb1EdK957r8Em33oVViz8y24MsE20T6rzxo1TrfcEzaQkViSkjLmV9FwAJqYyYAx4ll8yUzhoVbmWe9WJqJV0lHhp9dfgLqzgPkbUI7QigdXBegnJyykjCPO0NBT4bnHNkZ075JuyfpV8iNbvCwFla4ILhMYvybiFHZpwYZII016KZvwE0H7RfnHJK0am0cnjQAkPs3ENFJVGkcGXvItPVVUiu9jsXJlzdFQicHcxk8mp6vKGeZbeFusWMELgSmjYX"
"Red Alert LED","5mm Red LED","Standard 5mm through-hole red LED for indicator purposes.","electrical","display",1,0.10,0.10,"https://www.digikey.com/en/products/result?keywords=5mm+red+led"
"Green Alert LED","5mm Green LED","Indicates system running status.","electrical","display",1,0.10,0.10,"https://www.digikey.com/en/products/result?keywords=5mm+green+led"
"Mini GSM/4G Antenna","GSM 4G LTE SMA Antenna","","electrical","module",1,5.00,5.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxhlXbTlkc0muRjj18lRONlqihFdkItTbaWYOnGaM8eVilVae3odL5sJVnX2peb7HpZKmfXLBsBGI9XAMlWo5JJ6ge4FmZqOkwLP8Cm661DnTL8IltacXZRiPPSbq1hfBUb0tkCNm0FmixQ806iOtUIQcQLCX0BwRD2TtM1QvAoiYZENLIOaDOcVxgZSbDGykayrvniB5KmHvelcuSXAKvmurQjIr8XffIlmDbStg3FjdJfOOsj9DJrrbDGRG7DK9tgXBFXXi5dByBC0J6BKZsSNELVpWOblZsomilHaOOGgmxsBBndGeTaBTNZ1E27h2sOR6VqkuXQzJRjXIRZBfA8Ms2IMfq1EDxIzjVHV6Q7sKjSplsCQad1BNsqLZXBerpZIhNw8otF9j7VzvZbWazWQqN3XCeLc7sZm9XJHAoDVOapbLfcTHEu9XC6qN4aZaYsrm4rr5xI4k1Eie09Oo5U6Fo4URjpKv8Ckj8TRGUsRl0x9UgFWS6hZUOAMgnjxng94bVFZl6jjTLYsBjwwEeUD4quWmci0JU8EegZrJYGepKNMkxMph6aECRWodxyPT8U2NabAOnTEAODqbpIG4t9ncL2qCS6jki3tHrzALCY3b9QlFN8gmYqdA9rbtmJ5yIsg1vGg99rYJHq6ot9KcN82f"
"Mini LoRa Antenna","LoRa 868MHz/915MHz SMA Antenna","","electrical","module",1,4.00,4.00,"https://www.amazon.com/dp/B0D29CMH6C?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Mini GPS Antenna","Active GPS SMA Antenna","","electrical","module",1,7.00,7.00,"https://www.amazon.com/dp/B07R7RC96G?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"DC Input Jack","5.5x2.1mm DC Power Jack","5.5x2.1mm DC power female jack with fixed mounting, anti-reverse polarity design.","electrical","power",1,0.50,0.50,"https://www.digikey.com/en/products/result?keywords=5.5x2.1mm+dc+jack"
"SCHEB Main Enclosure","IP65 ABS/Polycarbonate Project Box","Durable, weather-resistant enclosure for SCHEB electronics, sized for 10x4x6 inches (254x101.6x152.4mm).","mechanical","enclosure",1,45.00,45.00,"https://www.amazon.com/s?k=ip65+abs+polycarbonate+enclosure+250x100x150mm"
"Enclosure Front Panel","IP65 ABS/Polycarbonate Project Box Lid","Front panel of the enclosure with cutouts for display, LEDs, and sensor openings.","mechanical","enclosure",1,15.00,15.00,"https://www.amazon.com/dp/B075X17M4T?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"SCHEB Wall Mounting Plate","Heavy-Duty Sliding Wall Mount Plate","Heavy-duty sliding mounting plate for securely attaching the SCHEB unit to a wall.","mechanical","structural",1,12.00,12.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0Jxwcol64cuiw9w5iAMSSpWJHLKuWleJ4guDYl4LfvTKdIoBiQcPIGN7xsLLS1a4yWVcKfys9OpYBj177GBXB6mFZ5B98uJDHxviyUQz7MSMrtFWCW1C40VaYtodsaI7muHSnD7XzXmTdtzOTEfFlERUmEJSLENkUQasl0h4FzACOQLHLFCQwwUJW3vVgLOVd5LLqcxn3C9A4kWuuw6ZcNHcEGR8TSA7kLE9bjselB2FkAaq9SMQ6cN1eeYCneL18fuWLjhwYmmwGJDUrfpgqVaRRyPYKoaMgXxsrQzWihqWNGd33bMPLNZ6TdXBEX2T7Qr9ybAOULWhPNvD9LrfIgA3Ul2aB6ZcbVoY0IdlFbs993eBLDx0VZ59Pr7YjqSdN5Vw8GUr1cdksPB4fhz4e6X2GhQ5NlJgcYh64r2kKSAmeYfGH34wnOd7qbg1wS50niaNBXr519FzLe5QiWFwKSg5uiUE134GWu5EC7X9XgL8dtbivWhnZ977JU1vd2efk2UvHpNbYOpHzfhGWiQ9A350G9aHIeGoyZzFTFzjtmuEiiYEbSIAQFecFqufvisnK9CCgaQV8cyhWOArV4vGB8xYc5uHOBrD9F8HimBToaCocfJ9Vx70MgO7nqMLHCeykoQOH9o6jV7Gsk7gdvUeJ9QKZz"
"Security Screw for Wall Mount","M4x10mm Hex Socket Security Screw","M4 security screw to lock the SCHEB unit onto the wall mounting plate, preventing theft.","mechanical","misc",1,0.50,0.50,"https://www.amazon.com/dp/B0BC8M3YZW?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Top Ventilation Grille","IP65 Ventilation Grille with Filter","Weather-resistant louvered ventilation grille for the top section of the enclosure.","mechanical","enclosure",1,4.00,4.00,"https://www.amazon.com/dp/B0968RDYR2?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Bottom Ventilation Grille","IP65 Ventilation Grille with Filter","Weather-resistant louvered ventilation grille for the bottom section of the enclosure, above sensors.","mechanical","enclosure",1,4.00,4.00,"https://www.amazon.com/dp/B0968RDYR2?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Dust Filter for Top Vent","Fine Mesh Dust Filter","Fine mesh filter to prevent dust and insects from entering the top ventilation port.","mechanical","misc",1,1.00,1.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxGymkQYZeBtCUD6aT8E1ovAp6tB9ahbNQV3szx13YSYOSu68mlQ9ce7U1JIuO4mPbwCXXoVWNALH6q3fm1ATETWZFApuEKq2Jbd8mFvY7VKm7T2en30TBXwGjhTKEi4gEnqOt2KwLp9m7gW5I4Zc3WYCrOj3mIdi542xd7oQxRYFBM16ykNjgm9LAxV9QDO1CMIAtSXSSVqkXsYfqXN6mknicA3c7zBliI6uFNXroQJK8IM4E5uQMiDuVvPPWFQQQQUKQhqSeFMMvgkXkX4DKzAGhfWy6RA2BhfRZIqRJsWSGlv1qsnMZJu0wO3z3eqQROtu89VstAQKsQcr9GqstAgfGiY0O8ig6BLCDd0KwZhtNNi4iYbIN7MZV0qdhyJhPzYpRpmjtfw9rMA4V4QITBJTNNxaKOxdhFSo1K5xna0Kkh53X25VMTWDH3qLuejmkpZjiWjvVi9rMPvALaU3kzGvmTK0SWz4t4LywcIzIyzi611VhqbqxAaZVlUdYLU2Bmp520CoA0yCSexOdZwrqsKmWRkPZwC41cabDyUIKARWrLYa2JSu501xZ7c4KjxPqfMDUtFySlP75KgwHLFUcQGqa6FnyoSkPnHg79dMEPUe775mXIlqVtoqj5mPB4KVEAasLSgklIyalHWI0CJHn6mn"
"Dust Filter for Bottom Vent","Fine Mesh Dust Filter","Fine mesh filter to prevent dust and insects from entering the bottom ventilation port.","mechanical","misc",1,1.00,1.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxGymkQYZeBtCUD6aT8E1ovAp6tB9ahbNQV3szx13YSYOSu68mlQ9ce7U1JIuO4mPbwCXXoVWNALH6q3fm1ATETWZFApuEKq2Jbd8mFvY7VKm7T2en30TBXwGjhTKEi4gEnqOt2KwLp9m7gW5I4Zc3WYCrOj3mIdi542xd7oQxRYFBM16ykNjgm9LAxV9QDO1CMIAtSXSSVqkXsYfqXN6mknicA3c7zBliI6uFNXroQJK8IM4E5uQMiDuVvPPWFQQQQUKQhqSeFMMvgkXkX4DKzAGhfWy6RA2BhfRZIqRJsWSGlv1qsnMZJu0wO3z3eqQROtu89VstAQKsQcr9GqstAgfGiY0O8ig6BLCDd0KwZhtNNi4iYbIN7MZV0qdhyJhPzYpRpmjtfw9rMA4V4QITBJTNNxaKOxdhFSo1K5xna0Kkh53X25VMTWDH3qLuejmkpZjiWjvVi9rMPvALaU3kzGvmTK0SWz4t4LywcIzIyzi611VhqbqxAaZVlUdYLU2Bmp520CoA0yCSexOdZwrqsKmWRkPZwC41cabDyUIKARWrLYa2JSu501xZ7c4KjxPqfMDUtFySlP75KgwHLFUcQGqa6FnyoSkPnHg79dMEPUe775mXIlqVtoqj5mPB4KVEAasLSgklIyalHWI0CJHn6mn"
"Carry Handle","Heavy Duty ABS Carry Handle","Durable carry handle for portability, integrated into the top of the enclosure.","mechanical","enclosure",1,7.00,7.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxQuWHURZOZhB1OP2hxVIz8CACOHTaNlTat0Kk07eojHSqF9pfjXfYfy08AaL3URAbpsGSxD6eA1Z11epVd35qDlXoK7DhTU4taaLqPI7S5qrDp1XRmSvEYMkIZz16NAHBRSTW0doyZPR4qxezZasxMWe9rsMRVj0Yj2h3QJXrqiewjatZvXaQjomnI0Kc5oLIqIwO1uxKiBCyjTwqS3FzS2UCc6cZCWMvKWqjFOdIaq2YGK6HoQk97ihPoSMjzW3OG3y3kMMekPIzQVqbEfkfgj943TCICeyhbjQn52HAYlGsclnBwBVg2cW1va9Pq0qOOzOOF4KGG1uqfLpXesFvdntLkODspCIHc02zImQfixdxd7yJV14DCHgQapTqX5y4QTY5Qdcfg4rdP0KydUdYOWKPeRUqdfnuuHAEhoo5miUJbEhB3kIudUJuTKw3wJ2ZJtjjLiFQ6AmKnU7dPqz80liH4UyoUsLLkIaay8gYYL6I1Q9VITWuuKqj8d1Etd0VrTnZiNAVcnUYSJ1hRBOtNtsG0fVOk66DLqYLBn9ZMDWAbQ3CmnoWrUtDB3OoWOCcy0Z0JK79tLKMIAJ5acicEjeeIP02p91PExfjtU41zLotb2Egn33Xje7lKgrgr761pym9U1paXfF9Rl8e9uVRKhH"
"DC Input Cable Gland","M16 IP68 Cable Gland","Waterproof M16 cable gland for securing the solar panel DC input cable.","mechanical","misc",1,3.00,3.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0Jxhe2P6Z08XGzzv6NGZPWaeO327MKJsIZwMchiMp00BqtKgYn08awKFWFaQjIL6Bp89pWJuyV00q7qSq2s5KKxdozD2VDe9mpfBbRPFHpyY0S3lA4AwYiVuY3Vodmp6BFvJSe4BTR5x4j2PAjwzPHKTFztWgNIOLpdnesZ6oGt94ou7vLUiGB2dVqNUtkB2KLFQqEYD7F0yYwbyyylDGtVdiYb3s1by0MidNOjD0fv2JsFDWWUmVh8AUqbdP2H0nPyXDEWrr2TPZJwJNRkPxb0kWUdFnp1i9VQIk0DLhYCqc5wiUCCkg9pF9eqb4UbKphP3G1QM4LzQKg4bkrnhgpbhOdtbgzAnGF3Siojc67Uyy5WLJnbZdwRwUny4FZFu3K5COFsILs1fPfAamCDhxuWAQIek8OOA0Kgtvn4ljSkFasz2zq5wwJoWG7ZDZ5m6LTMAjUDJMOUo89T4rqWC2xBn018lWpGoz4nDf6htMW3WnCYF8AmedqJ6qfEQciNW5I5FeKysNqrJQyRgIkRbMFgqv9qeBCZRpcvD4K3RbAYoX5YXtz514OpSuSFqt2I9F1XDlEkiPfbL4wawebDHbtUG6UGXWBj3ufIF7T1HTztlade86T9ufqMyr7CB94GOMfLHF2p3kRjd20tWzIkjuBPQhd"
"Internal Backplate/PCB Frame","","3D-printed internal backplate providing structural support, PCB mounting, and integrated 18650 battery slots.","mechanical","3d_printed",1,8.00,8.00,"https://www.amazon.com/s?k=petg+filament"
"18650 Battery Slot 1","","Integrated slot in the internal backplate for holding the first 18650 Li-ion battery.","mechanical","3d_printed",1,1.00,1.00,"https://www.amazon.com/s?k=petg+filament"
"18650 Battery Slot 2","","Integrated slot in the internal backplate for holding the second 18650 Li-ion battery.","mechanical","3d_printed",1,1.00,1.00,"https://www.amazon.com/s?k=petg+filament"
"Vertical PCB Mount","","Set of standoffs and guides to securely mount the single main PCB vertically within the enclosure.","mechanical","3d_printed",1,3.00,3.00,"https://www.amazon.com/s?k=petg+filament"
"RF Module Standoffs","","Small 3D-printed standoffs/brackets to position RF modules (GSM/4G, LoRa, Wi-Fi/BT) in the top section.","mechanical","3d_printed",1,0.50,0.50,"https://www.amazon.com/s?k=petg+filament"
"OLED Display Bezel","","3D-printed bezel and mount for the OLED status display on the front panel.","mechanical","3d_printed",1,1.00,1.00,"https://www.amazon.com/s?k=petg+filament"
"Red LED Mount","","Small 3D-printed mount for the red alert LED on the front panel.","mechanical","3d_printed",1,0.20,0.20,"https://www.amazon.com/s?k=petg+filament"
"Green LED Mount","","Small 3D-printed mount for the green alert LED on the front panel.","mechanical","3d_printed",1,0.20,0.20,"https://www.amazon.com/s?k=petg+filament"
"PM2.5/CO2 Sensor Mount","","3D-printed bracket for mounting the PM2.5 and CO2 sensor near the bottom ventilation port.","mechanical","3d_printed",1,1.50,1.50,"https://www.amazon.com/s?k=petg+filament"
"Temp/Humidity Sensor Mount","","Small 3D-printed bracket for mounting the temperature and humidity sensor.","mechanical","3d_printed",1,0.50,0.50,"https://www.amazon.com/s?k=petg+filament"
"UV Sensor Mount","","Small 3D-printed holder for the UV radiation sensor, positioned to face outwards.","mechanical","3d_printed",1,0.40,0.40,"https://www.amazon.com/s?k=petg+filament"
"Ambient Light Sensor Mount","","Small 3D-printed holder for the ambient light sensor, positioned to face outwards.","mechanical","3d_printed",1,0.40,0.40,"https://www.amazon.com/s?k=petg+filament"
"Occupancy Sensor Mount","","3D-printed bracket for mounting the PIR occupancy sensor with a clear line of sight.","mechanical","3d_printed",1,0.80,0.80,"https://www.amazon.com/s?k=petg+filament"
"External 5W Solar Panel Assembly","5W 12V Mini Solar Panel Kit","External solar panel (10""x7""x0.7"") with anodized aluminum frame, pre-drilled mounting holes, and IP67 junction box.","mechanical","structural",1,35.00,35.00,"https://www.amazon.com/s?k=5w+12v+mini+solar+panel+kit"
